activity	time	p	p_peak	p_smooth
Hiking	1455.0	0.0	0.0	0.0
Biking	1455.0	2.7132082955678173e-6	0.003269747133607591	0.0032697471336075915
Walking	1455.0	7.094022967253859e-5	0.015343286242731837	0.014550815628815739
Using cardiovascular equipment	1455.0	5.215597804616716e-5	0.039133147362814584	0.0392157366333488
Participating in water sports	1455.0	1.7776668647588853e-5	0.005548951961577365	0.005548951961577365
Playing basketball	1455.0	1.9048457175229543e-5	0.009114713741745857	0.009114713741745857
Working out, unspecified	1455.0	6.383151616251111e-5	0.01836075863319637	0.019950399803444572
Skiing, ice skating, snowboarding	1455.0	0.0	0.0	0.0
Doing yoga	1455.0	3.7575456457552683e-6	0.008801489862111423	0.005867659908074282
Playing billiards	1455.0	3.22745469858018e-4	0.39370223496921003	0.3906583341577609
Fishing	1455.0	1.109887148942486e-4	0.06640267125291618	0.06781986154711536
Dancing	1455.0	5.749108163433398e-4	0.7712096547469683	0.762402642839575
Playing football	1455.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Vehicle touring/racing	1455.0	2.776750819100577e-5	0.0692329055958256	0.0692329055958256
Softball	1455.0	0.0	0.0	0.0
Playing soccer	1455.0	0.0	0.0	0.0
Doing aerobics	1455.0	1.0266853816933121e-5	0.01678518107256822	0.01678518107256822
Hunting	1455.0	3.3581461658357954e-5	0.030898502963775578	0.03162433802094682
Participating in martial arts	1455.0	0.0	0.0	0.0
Bowling	1455.0	9.338959086196509e-5	0.07576020309549647	0.07501600353415579
Rollerblading	1455.0	1.2811629549335348e-5	0.04023470590505102	0.04023470590505102
Golfing	1455.0	1.676041947892501e-5	0.007148071514001951	0.007148071514001951
Playing volleyball	1455.0	0.0	0.0	0.0
Boating	1455.0	2.0182704084569382e-5	0.029966048552979005	0.029966048552979005
Playing baseball	1455.0	0.0	0.0	0.0
Running	1460.0	6.45223543281662e-5	0.04402262110550772	0.04402262110550772
Playing racquet sports	1460.0	0.0	0.0	0.0
Weightlifting/strength training	1460.0	3.251054017685563e-5	0.020314703717469386	0.02095883922378386
Hiking	1460.0	0.0	0.0	0.0
Biking	1460.0	2.7132082955678173e-6	0.003269747133607591	0.0032697471336075915
Walking	1460.0	5.73914680994314e-5	0.012412896420055778	0.013723688536556892
Using cardiovascular equipment	1460.0	4.7465281567026334e-5	0.03561367129451098	0.027964221656169543
Participating in water sports	1460.0	1.7776668647588853e-5	0.005548951961577365	0.006196856018168192
Playing basketball	1460.0	1.9048457175229543e-5	0.009114713741745857	0.009114713741745857
Working out, unspecified	1460.0	7.104267084815887e-5	0.020435004689215684	0.019743589337209246
Skiing, ice skating, snowboarding	1460.0	0.0	0.0	0.0
Doing yoga	1460.0	3.7575456457552683e-6	0.008801489862111423	0.008801489862111423
Playing billiards	1460.0	3.098460894213584e-4	0.3779668788389904	0.38321199754906354
Fishing	1460.0	1.109887148942486e-4	0.06640267125291618	0.06640267125291618
Dancing	1460.0	5.579465936735866e-4	0.7484531298455863	0.7531150215571341
Playing football	1460.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Vehicle touring/racing	1460.0	2.776750819100577e-5	0.0692329055958256	0.06795288507065401
Softball	1460.0	0.0	0.0	0.0
Playing soccer	1460.0	0.0	0.0	0.0
Doing aerobics	1460.0	1.0266853816933121e-5	0.01678518107256822	0.01678518107256822
Hunting	1460.0	3.3581461658357954e-5	0.030898502963775578	0.030898502963775578
Participating in martial arts	1460.0	0.0	0.0	0.0
Bowling	1460.0	9.063746680288673e-5	0.07352760441147445	0.07358432559921539
Rollerblading	1460.0	1.2811629549335348e-5	0.04023470590505102	0.026823137270034016
Golfing	1460.0	1.676041947892501e-5	0.007148071514001951	0.007148071514001951
Playing volleyball	1460.0	0.0	0.0	0.0
Boating	1460.0	2.0182704084569382e-5	0.029966048552979005	0.029966048552979005
Playing baseball	1460.0	0.0	0.0	0.0
Running	1465.0	6.45223543281662e-5	0.04402262110550772	0.04402262110550772
Playing racquet sports	1465.0	0.0	0.0	0.0
Weightlifting/strength training	1465.0	3.251054017685563e-5	0.020314703717469386	0.020314703717469386
Hiking	1465.0	0.0	0.0	0.0
Biking	1465.0	2.7132082955678173e-6	0.003269747133607591	0.0032697471336075915
Walking	1465.0	6.202418844482599e-5	0.01341488294688306	0.013789356795877986
Using cardiovascular equipment	1465.0	1.2189424862692018e-5	0.009145846311183061	0.02365267244217788
Participating in water sports	1465.0	2.40035611180202e-5	0.0074926641313498455	0.006844760074759019
Playing basketball	1465.0	1.9048457175229543e-5	0.009114713741745857	0.009114713741745857
Working out, unspecified	1465.0	7.104267084815887e-5	0.020435004689215684	0.022594200086214062
Skiing, ice skating, snowboarding	1465.0	0.0	0.0	0.0
Doing yoga	1465.0	3.7575456457552683e-6	0.008801489862111423	0.005867659908074282
Playing billiards	1465.0	3.098460894213584e-4	0.3779668788389904	0.3773891150974547
Fishing	1465.0	1.109887148942486e-4	0.06640267125291618	0.06640267125291618
Dancing	1465.0	5.514082206535092e-4	0.7396822800788473	0.7421441833276253
Playing football	1465.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Vehicle touring/racing	1465.0	2.6227359899750167e-5	0.06539284402031088	0.06667286454548245
Softball	1465.0	0.0	0.0	0.0
Playing soccer	1465.0	0.0	0.0	0.0
Doing aerobics	1465.0	1.0266853816933121e-5	0.01678518107256822	0.01678518107256822
Hunting	1465.0	3.3581461658357954e-5	0.030898502963775578	0.030898502963775578
Participating in martial arts	1465.0	0.0	0.0	0.0
Bowling	1465.0	8.809510334237704e-5	0.07146516929067527	0.072152647664275
Rollerblading	1465.0	0.0	0.0	0.013411568635017008
Golfing	1465.0	1.676041947892501e-5	0.007148071514001951	0.007148071514001951
Playing volleyball	1465.0	0.0	0.0	0.0
Boating	1465.0	2.0182704084569382e-5	0.029966048552979005	0.029966048552979005
Playing baseball	1465.0	0.0	0.0	0.0
Running	1470.0	6.45223543281662e-5	0.04402262110550772	0.04402262110550772
Playing racquet sports	1470.0	0.0	0.0	0.0
Weightlifting/strength training	1470.0	3.251054017685563e-5	0.020314703717469386	0.01719270836814196
Hiking	1470.0	0.0	0.0	0.0
Biking	1470.0	2.7132082955678173e-6	0.003269747133607591	0.0032697471336075915
Walking	1470.0	7.185108827050831e-5	0.01554029102069512	0.01370917718643184
Using cardiovascular equipment	1470.0	3.491690467966363e-5	0.026198499720839607	0.01746566648055974
Participating in water sports	1470.0	2.40035611180202e-5	0.0074926641313498455	0.0069482423600693
Playing basketball	1470.0	1.9048457175229543e-5	0.009114713741745857	0.009114713741745857
Working out, unspecified	1470.0	9.356211875904209e-5	0.026912590880210828	0.02646769468615741
Skiing, ice skating, snowboarding	1470.0	0.0	0.0	0.0
Doing yoga	1470.0	0.0	0.0	0.002933829954037141
Playing billiards	1470.0	3.084251884434143e-4	0.37623358761438347	0.3565105579090498
Fishing	1470.0	1.109887148942486e-4	0.06640267125291618	0.06640267125291618
Dancing	1470.0	5.503756454322587e-4	0.7382971400584423	0.7149194618628862
Playing football	1470.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Vehicle touring/racing	1470.0	2.6227359899750167e-5	0.06539284402031088	0.06539284402031088
Softball	1470.0	0.0	0.0	0.0
Playing soccer	1470.0	0.0	0.0	0.0
Doing aerobics	1470.0	1.0266853816933121e-5	0.01678518107256822	0.01678518107256822
Hunting	1470.0	3.3581461658357954e-5	0.030898502963775578	0.030898502963775578
Participating in martial arts	1470.0	0.0	0.0	0.0
Bowling	1470.0	8.809510334237704e-5	0.07146516929067527	0.07101390031324521
Rollerblading	1470.0	0.0	0.0	0.0
Golfing	1470.0	1.676041947892501e-5	0.007148071514001951	0.007148071514001951
Playing volleyball	1470.0	0.0	0.0	0.0
Boating	1470.0	2.0182704084569382e-5	0.029966048552979005	0.029966048552979005
Playing baseball	1470.0	0.0	0.0	0.0
Running	1475.0	6.45223543281662e-5	0.04402262110550772	0.04402262110550772
Playing racquet sports	1475.0	0.0	0.0	0.0
Weightlifting/strength training	1475.0	1.7521728627172432e-5	0.010948717669487101	0.011926739794089534
Hiking	1475.0	0.0	0.0	0.0
Biking	1475.0	2.7132082955678173e-6	0.003269747133607591	0.0032697471336075915
Walking	1475.0	5.627932827113515e-5	0.01217235759171734	0.013295002068043266
Using cardiovascular equipment	1475.0	2.272747981697161e-5	0.017052653409656546	0.020101268846717566
Participating in water sports	1475.0	1.8771218776835163e-5	0.005859398817508208	0.006403820588788754
Playing basketball	1475.0	1.9048457175229543e-5	0.009114713741745857	0.009114713741745857
Working out, unspecified	1475.0	1.1144149718771733e-4	0.032055488489045714	0.03051776674313611
Skiing, ice skating, snowboarding	1475.0	0.0	0.0	0.0
Doing yoga	1475.0	0.0	0.0	0.0
Playing billiards	1475.0	2.5849921492172867e-4	0.3153312072737755	0.3370131928352172
Fishing	1475.0	1.109887148942486e-4	0.06640267125291618	0.06640267125291618
